department_name,high_risk_decisions,total_financial_impact,avg_financial_impact,avg_risk_score
Operations,383,-3715435.29,-9700.88,45.34
Procurement,340,-3550288.98,-10442.03,44.93
Marketing,361,-3196391.21,-8854.27,43.71
Risk,141,-2803804.18,-19885.14,44.08
Strategy,146,-2640127.26,-18083.06,43.9
Quality,145,-2577231.79,-17774.01,43.83
Technology,156,-2548274.79,-16335.09,43.65
Sales,138,-2476050.65,-17942.4,43.99
Research,113,-2077199.36,-18382.3,44.38
Human Resources,116,-2074101.57,-17880.19,43.97
Product,120,-1735724.93,-14464.37,43.83
Data & Analytics,110,-1721372.16,-15648.84,44.55
Customer Experience,161,-1708622.69,-10612.56,42.95
Legal,130,-1691481.35,-13011.39,43.15
Finance,133,-1283679.84,-9651.73,44.02
