department_name,decision_type,high_risk_decisions,failed_outcomes,failure_rate_pct,avg_risk_score,total_financial_impact,avg_financial_impact
Procurement,Vendor Selection,58,48,82.76,46.81,-1316945.21,-22705.95
Operations,Technology,44,29,65.91,47.5,-1269761.01,-28858.2
Sales,Strategic Initiative,27,26,96.3,44.07,-1193803.07,-44214.93
Operations,Hiring,65,41,63.08,44.46,-1129298.59,-17373.82
Risk,Hiring,24,22,91.67,43.75,-1052698.45,-43862.44
Human Resources,Strategic Initiative,30,19,63.33,43.17,-949076.91,-31635.9
Procurement,Hiring,57,39,68.42,44.47,-944812.93,-16575.67
Technology,Investment,31,28,90.32,45.16,-938328.63,-30268.67
Strategy,Pricing,31,25,80.65,43.71,-932794.98,-30090.16
Procurement,Policy Change,57,38,66.67,45.35,-914075.96,-16036.42
Quality,Policy Change,20,17,85.0,42.0,-892165.22,-44608.26
Research,Process Change,20,19,95.0,44.25,-847525.8,-42376.29
Marketing,Capacity Planning,38,26,68.42,46.84,-844279.54,-22217.88
Risk,Vendor Selection,29,25,86.21,41.03,-829295.68,-28596.4
Quality,Vendor Selection,36,32,88.89,43.19,-824387.56,-22899.65
Operations,Policy Change,55,39,70.91,46.36,-797366.96,-14497.58
Technology,Technology,28,18,64.29,42.14,-770969.68,-27534.63
Procurement,Capacity Planning,34,21,61.76,45.59,-765764.58,-22522.49
Human Resources,Process Change,21,16,76.19,42.86,-722136.9,-34387.47
Procurement,Strategic Initiative,38,28,73.68,44.21,-717214.74,-18874.07
Procurement,Technology,68,39,57.35,45.07,-716199.95,-10532.35
Sales,Process Change,20,17,85.0,45.0,-704283.27,-35214.16
Operations,Pricing,55,31,56.36,44.91,-687855.13,-12506.46
Customer Experience,Process Change,21,19,90.48,45.0,-661885.45,-31518.35
Research,Policy Change,26,20,76.92,41.15,-650206.57,-25007.94
Operations,Process Change,50,29,58.0,42.6,-647454.53,-12949.09
Risk,Policy Change,23,20,86.96,43.91,-647368.29,-28146.45
Procurement,Process Change,52,37,71.15,44.9,-634350.98,-12199.06
Risk,Technology,25,18,72.0,43.8,-633024.24,-25320.97
Research,Technology,24,20,83.33,43.75,-627629.89,-26151.25
Customer Experience,Hiring,35,27,77.14,43.43,-597621.45,-17074.9
Procurement,Product Launch,43,28,65.12,45.12,-591485.68,-13755.48
Risk,Product Launch,25,22,88.0,43.8,-586617.42,-23464.7
Data & Analytics,Pricing,17,14,82.35,42.35,-585230.9,-34425.35
Strategy,Investment,19,18,94.74,45.0,-580793.26,-30568.07
Strategy,Hiring,23,22,95.65,44.35,-574760.21,-24989.57
Procurement,Investment,42,26,61.9,45.6,-573492.19,-13654.58
Strategy,Technology,25,22,88.0,41.6,-561258.57,-22450.34
Marketing,Investment,47,25,53.19,43.83,-561016.28,-11936.52
Product,Product Launch,24,20,83.33,43.33,-558275.18,-23261.47
Quality,Product Launch,34,30,88.24,43.82,-554107.44,-16297.28
Operations,Investment,59,38,64.41,46.53,-553875.0,-9387.71
Quality,Capacity Planning,29,29,100.0,45.34,-551617.39,-19021.29
Technology,Pricing,27,21,77.78,41.3,-551195.99,-20414.67
Product,Capacity Planning,26,25,96.15,43.85,-547192.91,-21045.88
Legal,Capacity Planning,22,19,86.36,43.41,-545357.46,-24788.98
Strategy,Vendor Selection,28,25,89.29,44.29,-544529.85,-19447.49
Data & Analytics,Hiring,24,21,87.5,42.71,-543167.04,-22631.96
Operations,Vendor Selection,63,38,60.32,43.73,-542362.38,-8608.93
Sales,Technology,21,17,80.95,43.57,-530822.42,-25277.26
Customer Experience,Strategic Initiative,22,17,77.27,40.91,-516509.21,-23477.69
Technology,Capacity Planning,31,27,87.1,43.06,-508526.89,-16404.09
Finance,Product Launch,32,23,71.88,42.81,-497083.79,-15533.87
Research,Capacity Planning,17,15,88.24,43.82,-494976.88,-29116.29
Quality,Strategic Initiative,28,27,96.43,42.86,-494537.99,-17662.07
Marketing,Process Change,55,31,56.36,44.0,-486405.81,-8843.74
Human Resources,Pricing,25,22,88.0,41.8,-485265.47,-19410.62
Quality,Process Change,16,14,87.5,42.5,-485263.64,-30328.98
Customer Experience,Product Launch,24,16,66.67,43.54,-484993.64,-20208.07
Human Resources,Hiring,17,15,88.24,41.47,-477476.01,-28086.82
Marketing,Vendor Selection,34,26,76.47,48.09,-475538.09,-13986.41
Data & Analytics,Technology,26,21,80.77,41.73,-470105.94,-18081.0
Product,Process Change,25,22,88.0,42.4,-465551.94,-18622.08
Marketing,Strategic Initiative,43,22,51.16,42.79,-463388.74,-10776.48
Marketing,Hiring,60,39,65.0,43.58,-450949.48,-7515.82
Finance,Capacity Planning,21,14,66.67,42.38,-450268.46,-21441.36
Marketing,Product Launch,62,31,50.0,42.82,-440245.22,-7100.73
Operations,Product Launch,60,39,65.0,45.92,-438751.53,-7312.53
Finance,Technology,31,26,83.87,41.94,-437212.58,-14103.63
Procurement,Pricing,55,29,52.73,44.45,-437151.75,-7948.21
Legal,Pricing,26,23,88.46,41.92,-428039.96,-16463.08
Finance,Process Change,27,27,100.0,44.44,-423480.06,-15684.45
Quality,Technology,23,18,78.26,41.74,-422417.96,-18366.0
Risk,Process Change,25,21,84.0,44.0,-394580.92,-15783.24
Legal,Technology,17,13,76.47,41.47,-394451.25,-23203.01
Finance,Investment,26,23,88.46,45.0,-393681.66,-15141.6
